,Src,Dst,Weight,edge_type
0,1,4809,1,0
1,2,4809,1,0
2,3,4809,1,0
3,4,4809,1,0
4,5,4809,1,0
5,6,4809,1,0
6,7,4809,1,0
7,8,4809,1,0
8,9,4809,1,0
9,10,4809,1,0
10,11,4810,1,0
11,12,4809,1,0
12,11,4811,1,0
13,13,4809,1,0
14,11,4812,1,0
15,14,4809,1,0
17,11,4813,1,0
18,15,4809,1,0
19,11,4814,1,0
20,16,4809,1,0
21,11,4815,1,0
22,1,4810,1,0
23,2,4810,1,0
24,3,4810,1,0
25,17,4810,1,0
26,18,4810,1,0
27,19,4810,1,0
28,20,4810,1,0
29,21,4810,1,0
30,22,4810,1,0
31,23,4810,1,0
32,24,4810,1,0
33,25,4810,1,0
34,26,4810,1,0
35,27,4810,1,0
36,15,4810,1,0
37,28,4810,1,0
38,29,4811,1,0
39,30,4811,1,0
40,25,4811,1,0
41,31,4812,1,0
42,32,4812,1,0
43,33,4812,1,0
59,1,4816,1,0
60,2,4816,1,0
61,3,4816,1,0
62,34,4816,1,0
63,35,4816,1,0
65,36,4816,1,0
66,37,4816,1,0
67,38,4816,1,0
68,39,4816,1,0
69,40,4816,1,0
70,26,4816,1,0
71,41,4816,1,0
73,1,4814,1,0
74,2,4814,1,0
75,3,4814,1,0
76,29,4814,1,0
77,42,4814,1,0
78,21,4814,1,0
79,43,4814,1,0
80,44,4814,1,0
81,45,4814,1,0
82,46,4814,1,0
83,47,4814,1,0
84,26,4814,1,0
85,16,4817,1,0
86,15,4814,1,0
87,16,4813,1,0
88,48,4814,1,0
89,49,4818,1,0
90,50,4818,1,0
91,1,4818,1,0
92,2,4818,1,0
93,3,4818,1,0
94,51,4818,1,0
95,52,4818,1,0
96,53,4818,1,0
97,54,4818,1,0
98,55,4818,1,0
99,56,4819,1,0
100,57,4818,1,0
101,56,4815,1,0
102,1,4815,1,0
103,2,4815,1,0
104,3,4815,1,0
105,29,4815,1,0
106,51,4815,1,0
107,58,4815,1,0
108,59,4815,1,0
109,60,4815,1,0
110,61,4815,1,0
111,52,4815,1,0
112,62,4815,1,0
113,53,4815,1,0
114,26,4815,1,0
121,1,4820,1,0
122,2,4820,1,0
123,3,4820,1,0
124,63,4821,1,0
125,64,4821,1,0
126,65,4821,1,0
127,66,4822,1,0
128,65,4823,1,0
129,63,4822,1,0
132,40,4824,1,0
133,67,4824,1,0
134,68,4825,1,0
135,55,4824,1,0
136,68,4819,1,0
137,67,4819,1,0
138,69,4813,1,0
139,70,4813,1,0
140,71,4813,1,0
142,40,4813,1,0
143,72,4826,1,0
144,72,4827,1,0
145,73,4828,1,0
147,74,4829,1,0
148,75,4830,1,0
149,74,4831,1,0
150,76,4832,1,0
151,77,4832,1,0
152,74,4833,1,0
153,78,4832,1,0
154,79,4834,1,0
155,18,4835,1,0
156,80,4836,1,0
157,81,4837,1,0
158,82,4838,1,0
159,75,4839,1,0
160,83,4832,1,0
161,60,4840,1,0
162,84,4832,1,0
163,85,4841,1,0
164,75,4842,1,0
165,86,4841,1,0
166,87,4843,1,0
167,74,4842,1,0
168,88,4844,1,0
169,89,4845,1,0
170,90,4846,1,0
171,91,4840,1,0
172,92,4840,1,0
173,90,4847,1,0
174,93,4848,1,0
175,89,4849,1,0
176,89,4850,1,0
179,93,4851,1,0
182,89,4852,1,0
184,93,4853,1,0
185,89,4844,1,0
186,94,4854,1,0
187,95,4855,1,0
188,89,4856,1,0
190,96,4857,1,0
192,97,4858,1,0
193,98,4858,1,0
194,99,4859,1,0
195,99,4860,1,0
196,100,4861,1,0
197,101,4862,1,0
198,102,4863,1,0
199,103,4858,1,0
200,101,4841,1,0
201,104,4864,1,0
202,105,4865,1,0
203,106,4853,1,0
204,107,4866,1,0
206,108,4867,1,0
207,109,4868,1,0
210,110,4869,1,0
212,111,4870,1,0
213,112,4869,1,0
214,113,4871,1,0
215,110,4872,1,0
217,89,4873,1,0
223,114,4874,1,0
224,115,4875,1,0
225,116,4876,1,0
226,116,4877,1,0
227,117,4878,1,0
228,118,4879,1,0
229,119,4880,1,0
231,120,4881,1,0
232,121,4882,1,0
238,122,4883,1,0
239,123,4884,1,0
240,124,4885,1,0
241,125,4886,1,0
242,126,4887,1,0
243,127,4888,1,0
244,128,4889,1,0
246,129,4890,1,0
247,129,4891,1,0
248,130,4892,1,0
249,131,4893,1,0
253,132,4894,1,0
254,133,4895,1,0
255,132,4896,1,0
256,134,4895,1,0
257,135,4897,1,0
258,135,4898,1,0
259,136,4899,1,0
260,136,4884,1,0
261,137,4900,1,0
262,138,4901,1,0
264,138,4902,1,0
265,139,4903,1,0
266,131,4878,1,0
267,136,4904,1,0
268,136,4905,1,0
269,140,4906,1,0
270,140,4907,1,0
271,141,4908,1,0
272,142,4909,1,0
273,143,4910,1,0
274,144,4911,1,0
275,144,4909,1,0
276,145,4912,1,0
277,73,4913,1,0
279,145,4914,1,0
280,138,4915,1,0
282,138,4916,1,0
285,146,4917,1,0
286,138,4918,1,0
287,138,4919,1,0
288,138,4920,1,0
289,138,4921,1,0
290,147,4922,1,0
291,148,4923,1,0
292,138,4924,1,0
293,149,4925,1,0
294,150,4923,1,0
296,151,4926,1,0
297,152,4923,1,0
298,153,4923,1,0
299,154,4923,1,0
300,155,4927,1,0
301,156,4908,1,0
303,157,4928,1,0
304,158,4929,1,0
305,138,4930,1,0
306,159,4922,1,0
310,160,4931,1,0
311,161,4932,1,0
312,162,4933,1,0
313,163,4934,1,0
314,164,4935,1,0
315,137,4936,1,0
316,165,4904,1,0
317,166,4904,1,0
318,167,4937,1,0
319,168,4904,1,0
320,169,4846,1,0
321,170,4904,1,0
322,171,4938,1,0
323,164,4939,1,0
324,172,4940,1,0
325,173,4941,1,0
326,173,4942,1,0
327,72,4891,1,0
328,130,4943,1,0
329,173,4944,1,0
330,72,4945,1,0
331,174,4943,1,0
332,72,4946,1,0
333,171,4947,1,0
334,175,4939,1,0
340,118,4948,1,0
341,176,4949,1,0
342,177,4950,1,0
343,178,4949,1,0
344,177,4951,1,0
345,113,4952,1,0
346,179,4872,1,0
347,180,4952,1,0
348,181,4953,1,0
349,182,4954,1,0
350,182,4955,1,0
351,183,4953,1,0
352,184,4954,1,0
353,185,4956,1,0
354,186,4957,1,0
355,181,4955,1,0
356,184,4958,1,0
357,187,4959,1,0
358,179,4960,1,0
359,188,4952,1,0
360,189,4960,1,0
361,188,4961,1,0
362,190,4962,1,0
363,184,4963,1,0
364,191,4964,1,0
365,110,4965,1,0
366,192,4966,1,0
367,184,4967,1,0
368,193,4964,1,0
369,192,4968,1,0
370,185,4959,1,0
371,181,4958,1,0
372,194,4954,1,0
373,185,4969,1,0
374,195,4969,1,0
375,187,4970,1,0
376,196,4963,1,0
377,184,4965,1,0
378,196,4964,1,0
379,194,4955,1,0
380,183,4958,1,0
381,110,4971,1,0
382,197,4972,1,0
383,190,4973,1,0
385,198,4974,1,0
386,189,4975,1,0
387,199,4961,1,0
388,75,4976,1,0
389,200,4829,1,0
390,200,4878,1,0
391,201,4977,1,0
392,116,4978,1,0
393,100,4979,1,0
394,202,4980,1,0
395,195,4981,1,0
396,202,4970,1,0
397,203,4980,1,0
398,203,4970,1,0
399,204,4982,1,0
400,3,4983,1,0
402,186,4984,1,0
404,205,4980,1,0
405,206,4980,1,0
406,205,4970,1,0
407,206,4985,1,0
408,205,4985,1,0
410,72,4986,1,0
411,72,4987,1,0
412,72,4988,1,0
413,72,4989,1,0
414,72,4990,1,0
416,207,4943,1,0
417,72,4980,1,0
418,208,4991,1,0
419,208,4992,1,0
420,209,4993,1,0
421,209,4994,1,0
422,206,4970,1,0
424,208,4995,1,0
425,210,4996,1,0
426,211,4995,1,0
427,211,4985,1,0
428,212,4997,1,0
429,213,4875,1,0
430,100,4994,1,0
431,100,4998,1,0
432,214,4999,1,0
433,215,5000,1,0
434,87,5001,1,0
435,215,4862,1,0
437,216,4841,1,0
439,217,5002,1,0
440,218,4841,1,0
441,219,4841,1,0
442,90,4867,1,0
443,220,4841,1,0
444,221,4999,1,0
447,122,5003,1,0
449,222,5004,1,0
451,93,5005,1,0
452,108,5006,1,0
453,223,5007,1,0
454,172,5008,1,0
455,224,5008,1,0
456,225,5009,1,0
457,226,5009,1,0
458,227,5010,1,0
459,35,5011,1,0
460,122,5012,1,0
461,228,5013,1,0
462,228,5014,1,0
463,229,4875,1,0
464,213,5015,1,0
465,230,5016,1,0
466,230,4840,1,0
467,90,5017,1,0
468,90,4841,1,0
469,230,4851,1,0
470,215,5018,1,0
471,90,4843,1,0
472,90,5019,1,0
473,90,5020,1,0
474,231,5021,1,0
475,169,5022,1,0
476,232,5021,1,0
477,233,5023,1,0
478,234,5024,1,0
479,234,4952,1,0
482,230,4867,1,0
483,230,5025,1,0
484,90,5016,1,0
485,227,4840,1,0
486,90,5025,1,0
487,230,5026,1,0
488,235,5027,1,0
489,93,5020,1,0
490,93,4864,1,0
491,93,5028,1,0
492,236,5028,1,0
494,237,4999,1,0
495,93,5029,1,0
496,238,5030,1,0
497,239,5027,1,0
499,122,5031,1,0
500,240,4874,1,0
501,110,5010,1,0
502,241,4934,1,0
503,162,5032,1,0
504,242,5033,1,0
505,239,5034,1,0
506,243,4943,1,0
508,244,4934,1,0
509,245,5035,1,0
510,246,5031,1,0
511,247,5036,1,0
512,248,5037,1,0
513,249,4904,1,0
514,250,5027,1,0
516,251,4856,1,0
517,252,5038,1,0
518,253,5038,1,0
519,252,5017,1,0
521,254,5039,1,0
523,253,5040,1,0
524,253,5017,1,0
525,255,5041,1,0
526,254,5042,1,0
527,254,5043,1,0
528,254,5044,1,0
529,254,5045,1,0
530,256,5046,1,0
531,72,5047,1,0
532,257,4943,1,0
533,208,4985,1,0
534,72,5048,1,0
535,197,5049,1,0
536,258,4978,1,0
537,197,5049,1,0
538,258,4978,1,0
539,197,5050,1,0
540,259,5051,1,0
541,260,5052,1,0
543,261,4978,1,0
544,197,4861,1,0
547,184,4953,1,0
548,184,5053,1,0
549,262,4964,1,0
550,263,5053,1,0
551,263,5054,1,0
552,264,5055,1,0
554,198,4982,1,0
555,247,5056,1,0
557,265,5024,1,0
558,266,5046,1,0
559,267,5046,1,0
560,268,5057,1,0
561,110,5055,1,0
562,269,4978,1,0
563,270,5058,1,0
564,41,5058,1,0
565,247,5059,1,0
566,270,5027,1,0
567,198,5060,1,0
568,271,5061,1,0
569,198,4962,1,0
570,271,4973,1,0
573,272,4974,1,0
574,273,4982,1,0
575,274,5062,1,0
576,275,5063,1,0
577,276,5064,1,0
578,275,4905,1,0
579,277,4874,1,0
580,277,5065,1,0
581,162,5066,1,0
582,278,4934,1,0
584,279,5035,1,0
585,72,4993,1,0
586,280,5067,1,0
587,281,4861,1,0
588,282,4996,1,0
589,283,4994,1,0
590,283,5068,1,0
591,283,4827,1,0
592,72,4994,1,0
593,72,5069,1,0
594,284,4943,1,0
595,72,4996,1,0
596,211,4943,1,0
597,72,4942,1,0
598,285,4972,1,0
599,72,4947,1,0
601,195,5070,1,0
606,116,4983,1,0
607,192,4878,1,0
609,286,4970,1,0
610,286,4970,1,0
611,287,4983,1,0
612,288,5071,1,0
613,262,4967,1,0
614,289,4954,1,0
615,269,5072,1,0
616,290,4972,1,0
617,176,4980,1,0
618,192,5073,1,0
619,192,5074,1,0
620,291,4983,1,0
621,192,4969,1,0
622,192,5075,1,0
623,192,5076,1,0
624,292,5077,1,0
627,258,5072,1,0
628,258,5072,1,0
629,293,4970,1,0
630,293,4980,1,0
631,262,5078,1,0
632,294,4964,1,0
634,295,5079,1,0
635,296,5048,1,0
636,296,5080,1,0
637,296,5079,1,0
638,296,5081,1,0
639,100,5082,1,0
640,297,4963,1,0
642,298,5083,1,0
643,299,4963,1,0
644,284,5083,1,0
645,300,5069,1,0
646,97,5084,1,0
647,301,4860,1,0
648,97,5085,1,0
649,297,4860,1,0
650,98,5086,1,0
651,299,4859,1,0
652,302,5087,1,0
653,98,5085,1,0
654,297,4859,1,0
655,98,4983,1,0
656,192,4859,1,0
657,26,4983,1,0
658,303,4983,1,0
660,302,4983,1,0
661,192,5088,1,0
662,192,5055,1,0
663,97,4983,1,0
664,192,4860,1,0
665,304,4983,1,0
666,305,4983,1,0
667,306,4934,1,0
668,192,5089,1,0
669,288,4983,1,0
670,299,4983,1,0
671,297,4983,1,0
672,162,5084,1,0
673,301,4934,1,0
675,302,5090,1,0
677,302,5091,1,0
679,307,5092,1,0
680,302,4905,1,0
681,308,5088,1,0
682,309,5093,1,0
684,192,5094,1,0
685,310,5095,1,0
686,192,5096,1,0
687,192,5097,1,0
688,192,5097,1,0
689,311,4983,1,0
690,312,4983,1,0
691,266,5098,1,0
692,313,5024,1,0
693,179,5099,1,0
694,314,5100,1,0
695,179,5098,1,0
696,313,4952,1,0
697,118,5101,1,0
698,145,4880,1,0
699,315,5100,1,0
704,116,5102,1,0
705,116,5103,1,0
706,116,5104,1,0
711,316,5105,1,0
712,317,5106,1,0
713,229,5015,1,0
714,318,5107,1,0
716,319,5108,1,0
725,100,4874,1,0
727,320,4904,1,0
728,320,5109,1,0
730,110,4874,1,0
731,321,5110,1,0
732,322,4904,1,0
733,122,4874,1,0
735,323,4894,1,0
736,324,4898,1,0
737,324,4897,1,0
738,229,5097,1,0
739,229,5097,1,0
740,325,4898,1,0
741,326,4898,1,0
742,327,4897,1,0
743,325,4897,1,0
744,143,4900,1,0
745,213,5097,1,0
746,213,5097,1,0
747,114,5003,1,0
748,122,5111,1,0
749,286,4884,1,0
750,122,5097,1,0
751,122,5097,1,0
752,286,4884,1,0
755,213,5031,1,0
756,279,5003,1,0
759,279,5112,1,0
760,328,5113,1,0
761,329,5114,1,0
762,328,5115,1,0
763,330,5116,1,0
765,331,5116,1,0
766,328,5117,1,0
768,116,5118,1,0
769,74,5119,1,0
770,116,5120,1,0
771,318,5121,1,0
772,116,5122,1,0
773,74,5123,1,0
774,116,5124,1,0
775,74,5121,1,0
776,116,5125,1,0
779,116,5126,1,0
780,116,5127,1,0
781,118,5128,1,0
782,332,5129,1,0
783,332,4874,1,0
786,333,5130,1,0
787,118,4985,1,0
790,121,5035,1,0
791,334,4997,1,0
792,121,5115,1,0
793,122,5070,1,0
794,114,4884,1,0
795,122,4875,1,0
797,184,5131,1,0
798,184,5132,1,0
800,74,5054,1,0
801,116,5133,1,0
802,116,4985,1,0
803,335,5134,1,0
804,336,5054,1,0
806,335,4949,1,0
807,110,5135,1,0
808,337,4871,1,0
809,338,5136,1,0
810,339,5136,1,0
811,184,4986,1,0
812,339,4964,1,0
813,340,5136,1,0
815,341,5080,1,0
816,116,5137,1,0
817,116,4996,1,0
818,116,5138,1,0
819,336,5134,1,0
820,342,5139,1,0
821,116,5140,1,0
822,116,5141,1,0
823,336,5142,1,0
824,343,5139,1,0
825,116,5143,1,0
826,344,5080,1,0
828,213,5012,1,0
829,143,5111,1,0
830,122,5144,1,0
831,345,4884,1,0
832,122,5145,1,0
833,118,5146,1,0
834,346,5147,1,0
835,116,5148,1,0
836,347,4834,1,0
837,18,5149,1,0
838,116,5123,1,0
839,348,4878,1,0
840,74,5055,1,0
842,116,5150,1,0
845,79,4929,1,0
847,116,5151,1,0
848,116,5152,1,0
849,349,5153,1,0
850,317,4878,1,0
851,116,5154,1,0
852,112,5153,1,0
853,335,4870,1,0
854,116,5155,1,0
855,118,5156,1,0
858,116,5157,1,0
859,350,4878,1,0
860,116,5158,1,0
861,118,5157,1,0
862,118,5159,1,0
864,118,5160,1,0
865,351,5161,1,0
866,352,5162,1,0
868,352,5163,1,0
869,352,5164,1,0
871,353,5014,1,0
872,354,5062,1,0
873,352,5165,1,0
874,355,5166,1,0
876,356,5167,1,0
877,357,5168,1,0
878,336,4951,1,0
879,178,5139,1,0
880,358,5062,1,0
882,359,5169,1,0
885,360,5170,1,0
887,359,4995,1,0
888,210,5171,1,0
889,361,4995,1,0
890,210,5169,1,0
891,362,5172,1,0
892,363,5173,1,0
893,169,5174,1,0
894,118,4892,1,0
895,359,5173,1,0
896,361,5173,1,0
898,364,5047,1,0
899,257,5175,1,0
902,365,5176,1,0
903,366,5068,1,0
906,364,5176,1,0
907,366,5175,1,0
910,118,5177,1,0
911,367,4880,1,0
914,332,5178,1,0
915,368,5179,1,0
916,369,5180,1,0
919,352,5181,1,0
921,352,5182,1,0
922,370,5138,1,0
923,371,5138,1,0
925,372,5082,1,0
927,373,5138,1,0
930,374,5183,1,0
931,375,5082,1,0
932,352,5184,1,0
933,374,5185,1,0
935,376,5185,1,0
937,377,4889,1,0
938,122,5186,1,0
940,332,5010,1,0
942,364,5134,1,0
943,342,5175,1,0
944,129,5172,1,0
945,378,5187,1,0
946,379,5188,1,0
950,380,5186,1,0
951,381,5134,1,0
952,130,5048,1,0
953,130,4880,1,0
954,118,4891,1,0
955,129,5189,1,0
956,296,4891,1,0
957,332,4904,1,0
958,382,5172,1,0
959,332,5190,1,0
961,383,5172,1,0
962,210,5191,1,0
963,384,4995,1,0
964,384,5192,1,0
965,385,5191,1,0
966,238,5191,1,0
967,384,5193,1,0
968,386,5194,1,0
970,387,4870,1,0
973,388,5195,1,0
974,389,5195,1,0
976,390,5196,1,0
981,120,5197,1,0
983,120,5198,1,0
984,388,5199,1,0
985,388,5200,1,0
989,391,4983,1,0
990,192,5201,1,0
991,118,5202,1,0
992,122,5092,1,0
993,347,5092,1,0
994,302,4874,1,0
995,392,4961,1,0
996,392,5203,1,0
997,393,5092,1,0
998,394,5204,1,0
999,395,5205,1,0
1000,250,5206,1,0
1001,396,5207,1,0
1002,235,5208,1,0
1003,397,5209,1,0
1004,398,5064,1,0
1005,394,4886,1,0
1006,126,5205,1,0
1007,118,5210,1,0
1008,399,4878,1,0
1009,317,5210,1,0
1010,400,5211,1,0
1011,400,4949,1,0
1012,401,5212,1,0
1015,401,5213,1,0
1016,402,5191,1,0
1018,178,5007,1,0
1019,403,4951,1,0
1020,384,5007,1,0
1021,403,5191,1,0
1022,404,5214,1,0
1023,405,5215,1,0
1024,406,5191,1,0
1025,407,5216,1,0
1026,408,5004,1,0
1027,409,5215,1,0
1028,400,5217,1,0
1029,400,5218,1,0
1030,410,4969,1,0
1031,411,5219,1,0
1032,277,5061,1,0
1033,412,4969,1,0
1035,413,5052,1,0
1036,413,5070,1,0
1037,414,5138,1,0
1038,352,5220,1,0
1039,413,5138,1,0
1043,116,4980,1,0
1044,207,4878,1,0
1046,282,4974,1,0
1048,297,4972,1,0
1049,72,5221,1,0
1050,415,5076,1,0
1051,416,5222,1,0
1052,192,4980,1,0
1053,114,5143,1,0
