,from,to,references
0,CALM1,TRPC1,TRIP:11290752;TRIP:11983166;TRIP:12601176
1,CALM3,TRPC1,TRIP:11290752;TRIP:11983166;TRIP:12601176
2,CALM2,TRPC1,TRIP:11290752;TRIP:11983166;TRIP:12601176
3,CAV1,TRPC1,DIP:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728
4,DRD2,TRPC1,TRIP:18261457
5,MDFI,TRPC1,HPRD:14530267;TRIP:14530267;TRIP:23770672
6,ITPR2,TRPC1,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564
7,MARCKS,TRPC1,TRIP:24022404
8,GRM1,TRPC1,TRIP:14614461
9,STIM1,TRPC1,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939
10,TRPC1,TRPC3,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637
11,TRPC3,TRPC1,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637
12,TRPC1,TRPC4,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489
13,TRPC4,TRPC1,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489
14,TRPC1,TRPC5,HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068
15,TRPC5,TRPC1,HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068
16,TRPC1,TRPC6,TRIP:12857742;TRIP:16418302;TRIP:18191041;TRIP:20660561
17,TRPC1,PKD2,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176
18,PKD2,TRPC1,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176
19,TRPC1,TRPV4,TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746
20,TRPV4,TRPC1,TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746
21,TRPC1,TRPV6,TRIP:22932896;TRIP:25172921
22,CALM1,TRPC3,CellTalkDB:11248050;HPRD:15104175;TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
23,CALM3,TRPC3,TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
24,CALM2,TRPC3,TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
25,CASR,TRPC3,TRIP:22778254
26,EPOR,TRPC3,TRIP:18276585;TRIP:19074769;TRIP:21757714
27,HOMER1,TRPC3,TRIP:16887806
28,ITPR1,TRPC3,HPRD:11524429;HPRD:12606542;HPRD:15104175;HPRD:15623527;HPRD:9853757;TRIP:10518223;TRIP:18205297;TRIP:20022948;TRIP:20378853;TRIP:23045459
29,ITPR3,TRPC3,HPRD:11524429;HPRD:15623527;TRIP:10611319;TRIP:11248050;TRIP:11290752;TRIP:16887806
30,ASPH,TRPC3,TRIP:15302852
31,ORAI1,TRPC3,DIP:17360584;HPRD:17360584;TRIP:17360584;TRIP:18287061;TRIP:20022948
32,PRKG1,TRPC3,HPRD:14983059;KEA:14983059;ProtMapper:14983059;ProtMapper:16331690;SIGNOR:14983059;SIGNOR:16331690;TRIP:14983059;iPTMnet:14983059;iPTMnet:16331690
33,RNF24,TRPC3,TRIP:17850865
34,SRC,TRPC3,TRIP:16407161
35,TRPM4,TRPC3,TRIP:18262493
36,PKD2,TRPC3,TRIP:19812035
37,WNK4,TRPC3,TRIP:21670282
38,FYN,TRPC4,TRIP:16144838;TRIP:18048348;dbPTM:16144838
39,SLC9A3R1,TRPC4,HPRD:10980202;TRIP:10980202;TRIP:12154080;TRIP:15540229;TRIP:18048348
40,RNF24,TRPC4,TRIP:17850865
41,CABP1,TRPC5,TRIP:15895247
42,NCS1,TRPC5,TRIP:16469785
43,SESTD1,TRPC5,TRIP:20164195
44,TRPC5,TRPC6,TRIP:12857742;TRIP:18356201;TRIP:20660561
45,CALM1,TRPC6,TRIP:12379180;TRIP:15994335;TRIP:19932145
46,CALM3,TRPC6,TRIP:12379180;TRIP:15994335;TRIP:19932145
47,CALM2,TRPC6,TRIP:12379180;TRIP:15994335;TRIP:19932145
48,FYN,TRPC6,HPRD:14761972;SPIKE_LC:16713569;TRIP:14761972
49,MX1,TRPC6,HPRD:15757897;Lit-BM-17:15757897;SPIKE_LC:15757897;SPIKE_LC:17145710;TRIP:15757897
50,PRKACA,TRPC6,PhosphoSite:19961855;PhosphoSite:23645677;TRIP:22001259;TRIP:23645677
51,RNF24,TRPC6,Lit-BM-17:17850865;TRIP:17850865
52,SNF8,TRPC6,TRIP:23171048
53,PRKG1,TRPC7,SIGNOR:21402151;TRIP:21402151;iPTMnet:21402151
54,PKD2,TRPC7,TRIP:19812035
55,CALM1,TRPV1,HPRD:12808128;TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
56,CALM3,TRPV1,TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
57,CALM2,TRPV1,TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
58,CNR1,TRPV1,TRIP:23142606
59,CDK5,TRPV1,ProtMapper:23668392;ProtMapper:26376215;ProtMapper:26894912;ProtMapper:26902776;ProtMapper:29352128;ProtMapper:29467671;TRIP:17194758;TRIP:22451679;TRIP:23077056
60,FAF1,TRPV1,TRIP:16510717
61,GABARAP,TRPV1,TRIP:20179142
62,KIF13B,TRPV1,TRIP:23077056
63,PIRT,TRPV1,TRIP:18455988
64,PRKACA,TRPV1,TRIP:12194871
65,SRC,TRPV1,PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:17582331;ProtMapper:24717323;ProtMapper:25970319;ProtMapper:30292787;TRIP:15084474;TRIP:16319926
66,NTRK1,TRPV1,TRIP:16319926
67,EGFR,TRPV3,TRIP:20403327
68,CALM1,TRPV4,HPRD:12724311;TRIP:12724311;TRIP:21837266
69,CALM3,TRPV4,TRIP:12724311;TRIP:21837266
70,CALM2,TRPV4,TRIP:12724311;TRIP:21837266
71,FYN,TRPV4,HPRD:12538589;SPIKE_LC:16713569;TRIP:12538589
72,HCK,TRPV4,HPRD:12538589;TRIP:12538589
73,ITPR3,TRPV4,TRIP:18378772;TRIP:18826956
74,LCK,TRPV4,HPRD:12538589;TRIP:12538589
75,LYN,TRPV4,HPRD-phos:12538589;HPRD:12538589;KEA:12538589;TRIP:12538589;TRIP:18234883;iPTMnet:12538589;phosphoELM:12538589
76,MAP7,TRPV4,HPRD:14517216;Lit-BM-17:14517216;TRIP:14517216
77,OS9,TRPV4,HPRD:17932042;SIGNOR:17932042;TRIP:17932042
78,PACSIN3,TRPV4,HPRD:16627472;TRIP:16627472;TRIP:18174177
79,SRC,TRPV4,HPRD:12538589;KEA:17570479;ProtMapper:12538589;TRIP:12538589;TRIP:19033444
80,PKD2,TRPV4,TRIP:18695040;TRIP:20682256;TRIP:22518003;TRIP:23977387;TRIP:25114176
81,TRPV4,PKD2,TRIP:18695040;TRIP:20682256;TRIP:23977387;TRIP:25114176
82,YES1,TRPV4,HPRD:12538589;TRIP:12538589
83,BSPRY,TRPV5,TRIP:16380433
84,CALB1,TRPV5,HPRD:16763551;SPIKE_LC:16763551;TRIP:16763551
85,CALM1,TRPV5,TRIP:20686800;TRIP:20926660;TRIP:21576356
86,CALM3,TRPV5,TRIP:20686800;TRIP:20926660;TRIP:21576356
87,CALM2,TRPV5,TRIP:20686800;TRIP:20926660;TRIP:21576356
88,KL,TRPV5,TRIP:16239475;TRIP:18495742;TRIP:18606998
89,RAB11A,TRPV5,TRIP:16354700
90,S100A10,TRPV5,Lit-BM-17:12660155;TRIP:12660155
91,TGM2,TRPV5,TRIP:21952826
92,MCOLN3,TRPV5,TRIP:23469151
93,TRPV5,MCOLN3,TRIP:23469151
94,TRPV6,TRPV5,TRIP:12574114;TRIP:19295174
95,TRPV5,TRPV6,TRIP:12574114;TRIP:19295174
96,CALM1,TRPV6,HPRD:11248124;TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
97,CALM3,TRPV6,TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
98,CALM2,TRPV6,TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
99,KL,TRPV6,TRIP:16239475;TRIP:18495742
100,PDZD3,TRPV6,TRIP:17645868
101,NIPSNAP1,TRPV6,TRIP:18392847
102,NUMB,TRPV6,TRIP:23140583;TRIP:24704446
103,PTPN1,TRPV6,DEPOD:15894168;DEPOD:17197020;HPRD:15894168;IntAct:15894168;IntAct:17197020;Lit-BM-17:15894168;Lit-BM-17:17197020;SIGNOR:17197020;SPIKE_LC:15894168;TRIP:15894168;TRIP:17197020
104,RAB11A,TRPV6,TRIP:16354700
