,Src,Dst,Weight,edge_type
26,1,861,1,0
38,2,862,1,0
48,2,863,1,0
71,2,864,1,0
88,3,865,1,0
90,4,865,1,0
99,3,866,1,0
106,4,866,1,0
146,1,867,1,0
162,5,868,1,0
163,6,868,1,0
229,7,869,1,0
230,8,870,1,0
295,9,871,1,0
368,10,872,1,0
439,11,868,1,0
458,12,868,1,0
476,13,873,1,0
571,10,874,1,0
644,14,875,1,0
659,10,876,1,0
662,10,877,1,0
673,15,878,1,0
720,10,879,1,0
724,10,880,1,0
726,10,881,1,0
757,10,882,1,0
770,10,883,1,0
771,10,884,1,0
772,10,885,1,0
778,10,886,1,0
786,16,887,1,0
788,17,888,1,0
794,18,889,1,0
795,18,867,1,0
799,10,890,1,0
803,10,891,1,0
808,10,892,1,0
818,19,893,1,0
822,20,894,1,0
825,21,895,1,0
847,22,896,1,0
858,23,897,1,0
908,24,898,1,0
933,17,899,1,0
938,25,900,1,0
940,26,901,1,0
941,27,902,1,0
943,25,869,1,0
978,10,903,1,0
993,10,904,1,0
997,10,905,1,0
1053,10,906,1,0
1057,10,907,1,0
1058,10,908,1,0
1060,10,909,1,0
1062,10,910,1,0
1064,10,911,1,0
1066,10,912,1,0
1084,10,913,1,0
1085,10,914,1,0
1086,10,915,1,0
1094,10,916,1,0
1121,10,917,1,0
1125,10,895,1,0
1127,10,918,1,0
1128,10,919,1,0
1130,10,920,1,0
1185,10,921,1,0
1276,28,922,1,0
1278,29,894,1,0
1280,30,894,1,0
1282,31,894,1,0
1283,32,923,1,0
1368,33,880,1,0
1383,34,924,1,0
1393,10,925,1,0
1421,10,926,1,0
1433,10,927,1,0
1434,10,928,1,0
1435,10,929,1,0
1529,35,930,1,0
1531,35,931,1,0
1532,15,932,1,0
1564,36,933,1,0
1627,37,934,1,0
1630,38,935,1,0
1678,39,936,1,0
1681,40,937,1,0
1682,41,938,1,0
1683,42,939,1,0
1685,43,936,1,0
1702,10,940,1,0
1705,44,873,1,0
1719,3,941,1,0
1723,3,869,1,0
1739,45,942,1,0
1818,46,943,1,0
1857,47,889,1,0
1859,48,944,1,0
1861,47,945,1,0
1873,49,879,1,0
1927,50,867,1,0
1929,51,867,1,0
1931,52,867,1,0
2085,13,880,1,0
2118,53,902,1,0
2138,53,946,1,0
2340,54,947,1,0
2430,2,948,1,0
2433,2,949,1,0
2626,2,946,1,0
2628,2,950,1,0
2700,53,951,1,0
2702,53,889,1,0
2777,49,940,1,0
2956,53,952,1,0
2958,55,880,1,0
2989,56,922,1,0
3008,2,953,1,0
3148,55,954,1,0
3159,57,889,1,0
3164,57,945,1,0
3169,53,955,1,0
3182,53,945,1,0
3205,2,956,1,0
3209,2,957,1,0
3220,55,958,1,0
3221,53,958,1,0
3279,10,959,1,0
3318,10,960,1,0
3347,2,961,1,0
3526,10,962,1,0
3607,58,963,1,0
3610,58,964,1,0
3745,10,965,1,0
3810,10,966,1,0
3829,10,967,1,0
3831,53,968,1,0
3835,10,969,1,0
4047,59,956,1,0
4209,60,970,1,0
4212,61,971,1,0
4233,10,972,1,0
4236,62,911,1,0
4262,63,973,1,0
4337,64,974,1,0
4380,65,941,1,0
4413,66,975,1,0
4518,10,976,1,0
4534,10,977,1,0
4538,67,978,1,0
4539,68,977,1,0
4540,21,969,1,0
4542,21,966,1,0
4543,21,918,1,0
4547,22,979,1,0
4561,64,939,1,0
4585,69,980,1,0
4586,70,980,1,0
4587,71,980,1,0
4712,58,981,1,0
4817,15,982,1,0
4965,72,983,1,0
4968,12,947,1,0
4970,12,984,1,0
4974,73,931,1,0
4975,73,930,1,0
4977,63,985,1,0
4990,69,986,1,0
4992,74,987,1,0
4994,5,947,1,0
4995,5,984,1,0
5004,11,930,1,0
5007,11,988,1,0
5009,32,989,1,0
5016,75,873,1,0
5022,76,990,1,0
5023,76,991,1,0
5039,77,991,1,0
5040,77,990,1,0
5043,77,992,1,0
5051,78,988,1,0
5067,79,922,1,0
5090,35,993,1,0
5092,2,954,1,0
5106,78,994,1,0
5117,2,995,1,0
5122,80,994,1,0
5123,81,994,1,0
5124,15,994,1,0
5142,35,996,1,0
5145,37,950,1,0
5165,82,924,1,0
5174,83,932,1,0
5181,55,997,1,0
5184,84,998,1,0
5185,84,951,1,0
5186,84,999,1,0
5202,85,888,1,0
5211,53,1000,1,0
5214,70,986,1,0
5228,86,868,1,0
5237,55,957,1,0
5262,87,958,1,0
5269,53,880,1,0
5275,47,867,1,0
5292,78,930,1,0
5298,88,947,1,0
5299,88,868,1,0
5300,82,1001,1,0
5314,89,889,1,0
5319,47,998,1,0
5330,90,1002,1,0
5334,91,998,1,0
5345,71,986,1,0
5349,92,1001,1,0
5354,55,1003,1,0
5356,46,1004,1,0
5383,87,1005,1,0
5386,93,1006,1,0
5394,94,1007,1,0
5401,95,1008,1,0
5406,69,1009,1,0
5422,85,956,1,0
5424,2,902,1,0
5425,55,956,1,0
5449,34,1001,1,0
5453,11,931,1,0
5456,63,990,1,0
5457,63,991,1,0
5458,63,992,1,0
5467,91,1010,1,0
5474,6,947,1,0
5476,6,984,1,0
5490,85,867,1,0
5491,96,1011,1,0
5499,75,867,1,0
5506,92,924,1,0
5515,97,1012,1,0
5517,98,1013,1,0
5518,98,1014,1,0
5538,99,1015,1,0
5539,100,1015,1,0
5541,101,1016,1,0
5543,102,889,1,0
5547,53,1017,1,0
5551,103,1018,1,0
5552,104,1018,1,0
5553,104,1019,1,0
5559,105,1020,1,0
5560,24,1021,1,0
5563,105,997,1,0
5564,106,1022,1,0
5571,55,867,1,0
5572,65,869,1,0
5573,107,893,1,0
5579,108,1020,1,0
5580,109,1020,1,0
5581,108,1023,1,0
5582,109,1023,1,0
5583,110,1024,1,0
5589,111,1025,1,0
5590,44,1025,1,0
5623,69,1026,1,0
5624,112,1027,1,0
5625,113,1028,1,0
5631,114,880,1,0
5632,115,880,1,0
