"","uniprot","genesymbol","pathway","pathway_id"
"1","Q03113","GNA12","MAPK signaling pathway","hsa04010"
"2","Q9Y4G8","RAPGEF2","MAPK signaling pathway","hsa04010"
"3","Q13972","RASGRF1","MAPK signaling pathway","hsa04010"
"4","O95267","RASGRP1","MAPK signaling pathway","hsa04010"
"5","P62834","RAP1A","MAPK signaling pathway","hsa04010"
"6","P01375","TNF","MAPK signaling pathway","hsa04010"
"7","P01583","IL1A","MAPK signaling pathway","hsa04010"
"8","P48023","FASLG","MAPK signaling pathway","hsa04010"
"9","P01137","TGFB1","MAPK signaling pathway","hsa04010"
"10","P25445","FAS","MAPK signaling pathway","hsa04010"
"11","P36897","TGFBR1","MAPK signaling pathway","hsa04010"
"12","P62993","GRB2","MAPK signaling pathway","hsa04010"
"13","Q07889","SOS1","MAPK signaling pathway","hsa04010"
"14","P14210","HGF","MAPK signaling pathway","hsa04010"
"15","Q9NYJ8","TAB2","MAPK signaling pathway","hsa04010"
"16","Q9BQ95","ECSIT","MAPK signaling pathway","hsa04010"
"17","P11831","SRF","MAPK signaling pathway","hsa04010"
"18","Q9UHA4","LAMTOR3","MAPK signaling pathway","hsa04010"
"19","P28482","MAPK1","MAPK signaling pathway","hsa04010"
"20","Q13387","MAPK8IP2","MAPK signaling pathway","hsa04010"
"21","P45983","MAPK8","MAPK signaling pathway","hsa04010"
"22","P45985","MAP2K4","MAPK signaling pathway","hsa04010"
"23","O14733","MAP2K7","MAPK signaling pathway","hsa04010"
"24","Q9UPT6","MAPK8IP3","MAPK signaling pathway","hsa04010"
"25","Q16584","MAP3K11","MAPK signaling pathway","hsa04010"
"26","P17612","PRKACA","MAPK signaling pathway","hsa04010"
"27","P17252","PRKCA","MAPK signaling pathway","hsa04010"
"28","P62070","RRAS2","MAPK signaling pathway","hsa04010"
"29","P15056","BRAF","MAPK signaling pathway","hsa04010"
"30","P04049","RAF1","MAPK signaling pathway","hsa04010"
"31","Q02750","MAP2K1","MAPK signaling pathway","hsa04010"
"32","P36507","MAP2K2","MAPK signaling pathway","hsa04010"
"33","Q9HBH9","MKNK2","MAPK signaling pathway","hsa04010"
"34","Q9UK32","RPS6KA6","MAPK signaling pathway","hsa04010"
"35","P63000","RAC1","MAPK signaling pathway","hsa04010"
"36","P42574","CASP3","MAPK signaling pathway","hsa04010"
"37","Q12933","TRAF2","MAPK signaling pathway","hsa04010"
"38","Q9UER7","DAXX","MAPK signaling pathway","hsa04010"
"39","Q5STR5","SMIM40","MAPK signaling pathway","hsa04010"
