,Src,Dst,Prob,Src Cell,Dst Cell
7233945,CD28,CTBP2,1.8530972,vSMCs,Myeloid
7233485,CD28,RAB3IP,1.8044785,vSMCs,Cardiomyocyte
7232772,CD28,ECSIT,1.8034573,vSMCs,Pericyte
6162237,OSR1,CTBP2,1.7961131,Fibroblast,Myeloid
7234187,CD28,TRAF4,1.7660024,vSMCs,Mast
7233624,CD28,AKAP13,1.7565476,vSMCs,Lymphoid
7233601,CD28,CD96,1.7510499,vSMCs,Fibroblast
6161777,OSR1,RAB3IP,1.7489941,Fibroblast,Cardiomyocyte
6161064,OSR1,ECSIT,1.7480073,Fibroblast,Pericyte
9884373,PTPRK,CTBP2,1.7477788,Pericyte,Myeloid
6162486,OSR1,TSHZ3,1.7449914,Fibroblast,vSMCs
10673733,ADRM1,CTBP2,1.7388867,Neuronal,Myeloid
7161081,PAK2,CTBP2,1.7283465,Lymphoid,Myeloid
2227581,CHKA,CTBP2,1.7195717,Mast,Myeloid
998001,LPL,CTBP2,1.718243,Cardiomyocyte,Myeloid
6162479,OSR1,TRAF4,1.7117091,Fibroblast,Mast
7233634,CD28,ADCYAP1R1,1.7026947,vSMCs,Endothelial
6161916,OSR1,AKAP13,1.7025323,Fibroblast,Lymphoid
9883913,PTPRK,RAB3IP,1.7020149,Pericyte,Cardiomyocyte
9884622,PTPRK,TSHZ3,1.698157,Pericyte,vSMCs
10673273,ADRM1,RAB3IP,1.6934174,Neuronal,Cardiomyocyte
10672560,ADRM1,ECSIT,1.6925615,Neuronal,Pericyte
10673982,ADRM1,TSHZ3,1.6896051,Neuronal,vSMCs
7233751,CD28,TRRAP,1.684372,vSMCs,Neuronal
7160621,PAK2,RAB3IP,1.6831331,Lymphoid,Cardiomyocyte
7159908,PAK2,ECSIT,1.6822691,Lymphoid,Pericyte
7161330,PAK2,TSHZ3,1.6793356,Lymphoid,vSMCs
2227121,CHKA,RAB3IP,1.67461,Mast,Cardiomyocyte
2226408,CHKA,ECSIT,1.6737652,Mast,Pericyte
996828,LPL,ECSIT,1.6723496,Cardiomyocyte,Pericyte
2227830,CHKA,TSHZ3,1.6708411,Mast,vSMCs
998250,LPL,TSHZ3,1.6694458,Cardiomyocyte,vSMCs
9884615,PTPRK,TRAF4,1.665886,Pericyte,Mast
9826689,CRY1,CTBP2,1.6633203,Endothelial,Myeloid
6571637,IL6R,RAB3IP,1.6611146,Myeloid,Cardiomyocyte
6570924,IL6R,ECSIT,1.6602689,Myeloid,Pericyte
10673975,ADRM1,TRAF4,1.6575805,Neuronal,Mast
6572346,IL6R,TSHZ3,1.6573712,Myeloid,vSMCs
9884052,PTPRK,AKAP13,1.6567138,Pericyte,Lymphoid
9884029,PTPRK,CD96,1.6514628,Pericyte,Fibroblast
6161926,OSR1,ADCYAP1R1,1.6503564,Fibroblast,Endothelial
10673412,ADRM1,AKAP13,1.6482834,Neuronal,Lymphoid
7161323,PAK2,TRAF4,1.6474787,Lymphoid,Mast
10673389,ADRM1,CD96,1.6430148,Neuronal,Fibroblast
998243,LPL,TRAF4,1.6377071,Cardiomyocyte,Mast
7160737,PAK2,CD96,1.6330703,Lymphoid,Fibroblast
6162043,OSR1,TRRAP,1.6325978,Fibroblast,Neuronal
2227260,CHKA,AKAP13,1.6299746,Mast,Lymphoid
997680,LPL,AKAP13,1.6287173,Cardiomyocyte,Lymphoid
6572339,IL6R,TRAF4,1.6259453,Myeloid,Mast
2227237,CHKA,CD96,1.6247627,Mast,Fibroblast
997657,LPL,CD96,1.623562,Cardiomyocyte,Fibroblast
9826229,CRY1,RAB3IP,1.6198477,Endothelial,Cardiomyocyte
9825516,CRY1,ECSIT,1.6190428,Endothelial,Pericyte
6571776,IL6R,AKAP13,1.6168504,Myeloid,Lymphoid
9826938,CRY1,TSHZ3,1.6162097,Endothelial,vSMCs
6571753,IL6R,CD96,1.6116886,Myeloid,Fibroblast
9884062,PTPRK,ADCYAP1R1,1.6063426,Pericyte,Endothelial
10673422,ADRM1,ADCYAP1R1,1.5984517,Neuronal,Endothelial
9884179,PTPRK,TRRAP,1.5890723,Pericyte,Neuronal
7160770,PAK2,ADCYAP1R1,1.5886726,Lymphoid,Endothelial
9826931,CRY1,TRAF4,1.5856042,Endothelial,Mast
2227270,CHKA,ADCYAP1R1,1.5807081,Mast,Endothelial
997690,LPL,ADCYAP1R1,1.5791519,Cardiomyocyte,Endothelial
9826368,CRY1,AKAP13,1.5766537,Endothelial,Lymphoid
7160887,PAK2,TRRAP,1.5715995,Lymphoid,Neuronal
9826345,CRY1,CD96,1.5715992,Endothelial,Fibroblast
6571786,IL6R,ADCYAP1R1,1.567928,Myeloid,Endothelial
2227387,CHKA,TRRAP,1.5637244,Mast,Neuronal
997807,LPL,TRRAP,1.5621723,Cardiomyocyte,Neuronal
6571903,IL6R,TRRAP,1.5510796,Myeloid,Neuronal
9826495,CRY1,TRRAP,1.5126566,Endothelial,Neuronal
